CH1;CH2;PPG
146.50188;128.15634;586.13257
146.49632;128.14734;586.15814
146.49663;128.14844;586.1877
146.50157;128.15451;586.2188
146.50925;128.16893;586.256
146.51848;128.18341;586.29675
146.51987;128.18982;586.3424
146.51791;128.19121;586.39056
146.51892;128.19452;586.4386
146.52243;128.19354;586.4884
146.52408;128.19714;586.5415
146.52884;128.20184;586.59344
146.53252;128.21101;586.64404
146.5377;128.22453;586.69415
146.5455;128.23563;586.74316
146.55016;128.24332;586.7892
146.55125;128.25128;586.83276
146.55344;128.2587;586.8785
146.55905;128.26535;586.922
146.56703;128.27425;586.96277
146.57143;128.28044;587.0016
146.57538;128.28854;587.0389
146.58449;128.30157;587.07446
146.59;128.30936;587.11084
146.59444;128.31871;587.1446
146.59119;128.32121;587.1782
146.5877;128.31976;587.20844
146.58894;128.3189;587.23676
146.58878;128.32193;587.2631
146.59062;128.32681;587.29065
146.59715;128.33467;587.3175
146.5997;128.33789;587.3394
146.59898;128.33891;587.36255
146.59572;128.33998;587.3846
146.5945;128.33867;587.4052
146.59274;128.33865;587.42145
146.59305;128.3365;587.4378
146.59175;128.338;587.4529
146.59715;128.34558;587.4647
146.60283;128.35655;587.477
146.61276;128.36717;587.4891
146.61852;128.37593;587.50006
146.62076;128.3792;587.5085
146.61516;128.37569;587.51746
146.60696;128.36627;587.52325
146.60344;128.36424;587.5262
146.59529;128.35951;587.53064
146.58919;128.35466;587.5333
146.58372;128.35057;587.5338
146.57855;128.34875;587.5359
146.57231;128.34152;587.5364
146.56152;128.32138;587.538
146.5515;128.30298;587.53864
146.54402;128.29454;587.5353
146.54303;128.28958;587.5308
146.54199;128.28163;587.52795
146.53699;128.27614;587.52515
146.5391;128.27336;587.5215
146.53574;128.26874;587.5151
146.53189;128.25496;587.50824
146.52309;128.23352;587.5027
146.51466;128.2157;587.49646
146.51408;128.21193;587.4897
146.51544;128.20813;587.4836
146.50815;128.19286;587.47845
146.50807;128.18321;587.46857
146.50954;128.18112;587.4613
146.51147;128.17422;587.4548
146.50726;128.15868;587.44446
146.49977;128.13875;587.43616
146.49628;128.12361;587.42755
146.49396;128.11356;587.41864
146.49074;128.10602;587.41
146.48827;128.0981;587.4024
146.48776;128.09203;587.396
146.48665;128.08301;587.38654
146.48888;128.07175;587.3743
146.48898;128.0605;587.3633
146.48227;128.04703;587.35187
146.47798;128.03903;587.3453
146.47432;128.03586;587.3364
146.46716;128.03177;587.3177
146.46463;128.02248;587.30585
146.46205;128.015;587.2986
146.45616;128.00507;587.2892
146.45445;127.99322;587.2795
146.45482;127.98473;587.2711
146.45639;127.98147;587.2613
146.45682;127.9814;587.2488
146.45537;127.97961;587.2412
146.45541;127.97434;587.2348
146.45512;127.97401;587.22626
